run_accession	sample_accession	instrument_platform	instrument_model	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	first_created	first_public	country	collection_date	isolate	strain
ERR4080473	SAMEA6798401	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/003/ERR4080473/ERR4080473_1.fastq.gz	134929534	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/003/ERR4080473/ERR4080473_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/003/ERR4080473/ERR4080473_1.fastq.gz	312b51c9422663b1c0d322f3f083dcad	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080474	SAMEA6798402	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/004/ERR4080474/ERR4080474_1.fastq.gz	124340902	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/004/ERR4080474/ERR4080474_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/004/ERR4080474/ERR4080474_1.fastq.gz	38f02e67795411c3726a5f319a951646	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080475	SAMEA6798403	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/005/ERR4080475/ERR4080475_1.fastq.gz	104789723	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/005/ERR4080475/ERR4080475_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/005/ERR4080475/ERR4080475_1.fastq.gz	4684c147507fdd0b3f6ea59800a1a7e6	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080476	SAMEA6798404	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/006/ERR4080476/ERR4080476_1.fastq.gz	141003997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/006/ERR4080476/ERR4080476_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/006/ERR4080476/ERR4080476_1.fastq.gz	6e729da4d43895aa60a13c911d7fc37e	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080477	SAMEA6798405	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/007/ERR4080477/ERR4080477_1.fastq.gz	144213108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/007/ERR4080477/ERR4080477_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/007/ERR4080477/ERR4080477_1.fastq.gz	57b9a731766908b0e029db78ed00a9ee	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080478	SAMEA6798406	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/008/ERR4080478/ERR4080478_1.fastq.gz	144502997	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/008/ERR4080478/ERR4080478_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/008/ERR4080478/ERR4080478_1.fastq.gz	95860b9125c5dddf61e10151a444d571	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080479	SAMEA6798407	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/009/ERR4080479/ERR4080479_1.fastq.gz	104120830	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/009/ERR4080479/ERR4080479_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/009/ERR4080479/ERR4080479_1.fastq.gz	a5fca988a31d4fae5fd5a443f1f6da75	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080480	SAMEA6798408	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/000/ERR4080480/ERR4080480_1.fastq.gz	141652596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/000/ERR4080480/ERR4080480_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/000/ERR4080480/ERR4080480_1.fastq.gz	79d0a3dbb95a889cdf1ec9431250ea7e	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080481	SAMEA6798409	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/001/ERR4080481/ERR4080481_1.fastq.gz	139935032	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/001/ERR4080481/ERR4080481_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/001/ERR4080481/ERR4080481_1.fastq.gz	a41c6fba8139bc05e51ee0e8d971af8d	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
ERR4080482	SAMEA6798410	OXFORD_NANOPORE	MinION	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR408/002/ERR4080482/ERR4080482_1.fastq.gz	149478400	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/002/ERR4080482/ERR4080482_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR408/002/ERR4080482/ERR4080482_1.fastq.gz	5ebf66cfe20ad9fc442e42c5e8ef3291	2020-04-29	2020-04-29	Denmark	2020-03-10	not provided
